N,dOCV,dR0,dQ,dR1,dR2,Final_Capacity,Error
1.5,0.000104711824576722,3.3488834877895,-0.300281971134731,2.15339529749251,2.20600597383753,201.978333333354,0
1.5,9.76810935395091e-05,3.20277746246718,-0.308170370092057,2.24443195981854,2.04574862939105,201.135000000021,0
1.5,9.20788844693405e-05,3.10902452683746,-0.265618950825884,2.13069332154138,2.44402375513292,206.089583333355,0
1.5,9.56768331052912e-05,3.37722691898279,-0.264350584038627,2.31301792364661,2.2584892693649,206.089583333355,0
1.5,0.000102128102974733,2.90017391042038,-0.262266062488652,2.08966808320109,2.46659530982746,206.511250000021,0
1.5,9.68111052164229e-05,2.90722475449735,-0.332124928919806,1.91415431493238,1.9728868071558,198.499583333354,0
1.5,0.000101554420744821,3.51375672843412,-0.318089285383898,2.40011533396347,2.01722378054333,199.87000000002,0
1.5,9.66264645477239e-05,3.41059218411348,-0.305635236112492,2.41487661288832,2.20926781341762,201.345833333354,0
1.5,0.000101008813606348,3.38161427602488,-0.276333373451548,2.38461159643338,2.24262491490918,204.719166666688,0
1.5,9.90671500228767e-05,3.07543368077648,-0.267728436095997,1.84749564899428,1.99126478946669,205.984166666688,0
1.5,0.000101968884520017,3.203419567662,-0.329739094326711,2.29720278250029,2.28130647078425,198.60500000002,0
1.5,9.16668612696299e-05,2.73189917973527,-0.314902784431421,1.96121695061342,2.1388057032631,200.607916666687,0
1.5,0.000106586491848681,2.78242298147195,-0.267062469925299,2.39648311909144,2.4798076497707,205.984166666688,0
1.5,9.90078144042591e-05,3.33263889696717,-0.349457382353921,2.40806863568102,2.21217990738455,196.180416666687,0
1.5,0.000101922086136027,2.85660684817142,-0.24707809294131,2.42313847630425,2.2579140357818,208.197916666688,0
1.5,0.000109295875752045,3.24374870938663,-0.309764679345016,2.59990211645761,2.0031192442322,200.924166666687,0
1.5,0.000100054692899071,2.70138367889468,-0.320246312428425,1.88611058436861,1.83149666293555,200.080833333354,0
1.5,0.000105731604265731,3.05713720954318,-0.304602162736781,2.28513550041314,1.68858788694501,201.662083333354,0
1.5,9.83605593640629e-05,2.89961593933317,-0.271055904817669,2.54717649240447,2.64202761742446,205.351666666688,0
1.5,0.000105130563337516,3.37802498180427,-0.307599545072209,2.20700518621205,2.33100786650023,201.135000000021,0
